name,assigned_gender,count
Lucina,1,5
Lynn,1,5
Madora,1,5
Mahalia,1,5
Manervia,1,5
Manuela,1,5
Margarett,1,5
Margaretta,1,5
Margarita,1,5
Marilla,1,5
Mignon,1,5
Mozella,1,5
Natalie,1,5
Nelia,1,5
Nolie,1,5
Omie,1,5
Opal,1,5
Ossie,1,5
Ottie,1,5
Ottilia,1,5
Parthenia,1,5
Penelope,1,5
Pinkey,1,5
Pollie,1,5
Rennie,1,5
Reta,1,5
Roena,1,5
Rosalee,1,5
Roseanna,1,5
Ruthie,1,5
Sabra,1,5
Sannie,1,5
Selena,1,5
Sibyl,1,5
Tella,1,5
Tempie,1,5
Tennessee,1,5
Teressa,1,5
Texas,1,5
Theda,1,5
Thelma,1,5
Thursa,1,5
Ula,1,5
Vannie,1,5
Verona,1,5
Vertie,1,5
Wilma,1,5
John,0,9655
William,0,9532
James,0,5927
Charles,0,5348
George,0,5126
Frank,0,3242
Joseph,0,2632
Thomas,0,2534
Henry,0,2444
Robert,0,2415
Edward,0,2364
Harry,0,2152
Walter,0,1755
Arthur,0,1599
Fred,0,1569
Albert,0,1493
Samuel,0,1024
David,0,869
Louis,0,828
Joe,0,731
Charlie,0,730
Clarence,0,730
Richard,0,728
Andrew,0,644
Daniel,0,643
Ernest,0,615
Will,0,588
Jesse,0,569
Oscar,0,544
Lewis,0,517
Peter,0,496
Benjamin,0,490
Frederick,0,483
Willie,0,476
Alfred,0,469
Sam,0,457
Roy,0,440
Herbert,0,424
Jacob,0,404
Tom,0,399
Elmer,0,373
Carl,0,372
Lee,0,361
Howard,0,357
Martin,0,357
Michael,0,354
Bert,0,348
Herman,0,347
Jim,0,345
Francis,0,344
Harvey,0,344
Earl,0,335
Eugene,0,328
Ralph,0,317
Ed,0,310
Claude,0,309
Edwin,0,309
Ben,0,305
Charley,0,305
Paul,0,301
Edgar,0,283
Isaac,0,274
Otto,0,271
Luther,0,260
Lawrence,0,257
Ira,0,249
Patrick,0,248
Guy,0,239
Oliver,0,234
Theodore,0,232
Hugh,0,224
Clyde,0,221
Alexander,0,211
August,0,210
Floyd,0,206
Homer,0,205
Jack,0,204
Leonard,0,200
Horace,0,199
Marion,0,189
Philip,0,186
Allen,0,184
Archie,0,183
Stephen,0,176
Chester,0,168
Willis,0,166
Raymond,0,165
Rufus,0,163
Warren,0,158
Jessie,0,154
Milton,0,149
Alex,0,147
Leo,0,147
Julius,0,143
Ray,0,142
Sidney,0,142
Bernard,0,140
Dan,0,140
Jerry,0,136
Calvin,0,134
Perry,0,134
Dave,0,131
Anthony,0,130
Eddie,0,129
Amos,0,128
Dennis,0,128
Clifford,0,127
Leroy,0,124
Wesley,0,123
Alonzo,0,122
Garfield,0,122
Franklin,0,120
Emil,0,119
Leon,0,118
Nathan,0,114
Harold,0,113
Matthew,0,113
Levi,0,112
Moses,0,111
Everett,0,110
Lester,0,109
Winfield,0,108
Adam,0,104
Lloyd,0,104
Mack,0,104
Fredrick,0,103
Jay,0,103
Jess,0,103
Melvin,0,103
Noah,0,103
Aaron,0,102
Alvin,0,102
Norman,0,102
Gilbert,0,101
Elijah,0,100
Victor,0,100
Gus,0,99
Nelson,0,99
Jasper,0,98
Silas,0,98
Jake,0,96
Christopher,0,95
Mike,0,95
Percy,0,94
Adolph,0,93
Maurice,0,93
Cornelius,0,92
Felix,0,92
Reuben,0,92
Wallace,0,91
Claud,0,90
Roscoe,0,90
Sylvester,0,89
Earnest,0,88
Hiram,0,88
Otis,0,88
Simon,0,88
Willard,0,88
Irvin,0,86
Mark,0,85
Jose,0,84
Wilbur,0,82
Abraham,0,81
Virgil,0,81
Clinton,0,79
Elbert,0,79
Leslie,0,79
Marshall,0,78
Owen,0,78
Wiley,0,78
Anton,0,77
Morris,0,77
Manuel,0,75
Phillip,0,75
Augustus,0,74
Emmett,0,74
Eli,0,73
Nicholas,0,73
Wilson,0,72
Alva,0,70
Harley,0,70
Newton,0,70
Timothy,0,70
Marvin,0,69
Ross,0,69
Curtis,0,68
Edmund,0,67
Jeff,0,66
Elias,0,65
Harrison,0,65
Stanley,0,65
Columbus,0,64
Lon,0,64
Ora,0,64
Ollie,0,63
Pearl,0,62
Russell,0,62
Solomon,0,62
Arch,0,61
Asa,0,60
Clayton,0,60
Enoch,0,60
Irving,0,60
Mathew,0,60
Nathaniel,0,60
Scott,0,60
Hubert,0,59
Lemuel,0,59
Andy,0,58
Ellis,0,58
Emanuel,0,57
Joshua,0,57
Millard,0,56
Vernon,0,56
Wade,0,56
Cyrus,0,54
Miles,0,54
Rudolph,0,54
Sherman,0,54
Austin,0,53
Bill,0,53
Chas,0,53
Lonnie,0,53
Monroe,0,53
Byron,0,52
Edd,0,52
Emery,0,52
Grant,0,52
Jerome,0,52
Max,0,52
Mose,0,52
Steve,0,52
Gordon,0,51
Abe,0,50
Pete,0,50
Chris,0,49
Clark,0,49
Gustave,0,49
Orville,0,49
Lorenzo,0,48
Bruce,0,47
Marcus,0,47
Preston,0,47
Bob,0,46
Dock,0,46
Donald,0,46
Jackson,0,46
Cecil,0,45
Barney,0,44
Delbert,0,44
Edmond,0,44
Anderson,0,43
Christian,0,43
Glenn,0,43
Jefferson,0,43
Luke,0,43
Neal,0,43
Burt,0,42
Ike,0,42
Myron,0,42
Tony,0,42
Conrad,0,41
Joel,0,41
Matt,0,41
Riley,0,41
Vincent,0,41
Emory,0,40
Isaiah,0,40
Nick,0,40
Ezra,0,39
Green,0,39
Juan,0,39
Clifton,0,38
Lucius,0,38
Porter,0,38
Arnold,0,37
Bud,0,37
Jeremiah,0,37
Taylor,0,37
Forrest,0,36
Roland,0,36
Spencer,0,35
Burton,0,34
Don,0,34
Emmet,0,34
Gustav,0,33
Louie,0,33
Morgan,0,33
Ned,0,33
Van,0,33
Ambrose,0,32
Chauncey,0,32
Elisha,0,32
Ferdinand,0,32
General,0,32
Julian,0,32
Kenneth,0,32
Mitchell,0,32
Allie,0,31
Josh,0,31
Judson,0,31
Lyman,0,31
Napoleon,0,31
Pedro,0,31
Berry,0,30
Dewitt,0,30
Ervin,0,30
Forest,0,30
Lynn,0,30
Pink,0,30
Ruben,0,30
Sanford,0,30
Ward,0,30
Douglas,0,29
Ole,0,29
Omer,0,29
Ulysses,0,29
Walker,0,29
Wilbert,0,29
Adelbert,0,28
Benjiman,0,28
Ivan,0,28
Jonas,0,28
Major,0,28
Abner,0,27
Archibald,0,27
Caleb,0,27
Clint,0,27
Dudley,0,27
Granville,0,27
King,0,27
Mary,0,27
Merton,0,27
Antonio,0,26
Bennie,0,26
Carroll,0,26
Freeman,0,26
Josiah,0,26
Milo,0,26
Royal,0,26
Dick,0,25
Earle,0,25
Elza,0,25
Emerson,0,25
Fletcher,0,25
Judge,0,25
Laurence,0,25
Roger,0,25
Seth,0,25
Glen,0,24
Hugo,0,24
Jimmie,0,24
Johnnie,0,24
Neil,0,24
Washington,0,24
Elwood,0,23
Gust,0,23
Harmon,0,23
Jordan,0,23
Simeon,0,23
Wayne,0,23
Wilber,0,23
Clem,0,22
Evan,0,22
Frederic,0,22
Irwin,0,22
Junius,0,22
Lafayette,0,22
Loren,0,22
Madison,0,22
Mason,0,22
Orval,0,22
Abram,0,21
Aubrey,0,21
Elliott,0,21
Hans,0,21
Karl,0,21
Minor,0,21
Wash,0,21
Wilfred,0,21
Allan,0,20
Alphonse,0,20
Dallas,0,20
Dee,0,20
Isiah,0,20
Jason,0,20
Johnny,0,20
Lawson,0,20
Lew,0,20
Micheal,0,20
Orin,0,20
Addison,0,19
Cal,0,19
Erastus,0,19
Francisco,0,19
Hardy,0,19
Lucien,0,19
Randolph,0,19
Stewart,0,19
Vern,0,19
Wilmer,0,19
Zack,0,19
Adrian,0,18
Alvah,0,18
Bertram,0,18
Clay,0,18
Ephraim,0,18
Fritz,0,18
Giles,0,18
Grover,0,18
Harris,0,18
Isom,0,18
Jesus,0,18
Johnie,0,18
Jonathan,0,18
Lucian,0,18
Malcolm,0,18
Merritt,0,18
Otho,0,18
Perley,0,18
Rolla,0,18
Sandy,0,18
Tomas,0,18
Wilford,0,18
Adolphus,0,17
Angus,0,17
Arther,0,17
Carlos,0,17
Cary,0,17
Cassius,0,17
Davis,0,17
Hamilton,0,17
Harve,0,17
Israel,0,17
Leander,0,17
Melville,0,17
Merle,0,17
Murray,0,17
